CONTROL_NUMBER,RECENT_RESPONSE_COUNT,RECENT_CARD_RESPONSE_COUNT,RESPONSE_RATE,RECENT_RESPONSE_PROP,FILE_CARD_GIFT,IN_HOUSE,URBANICITY,SES,INCOME_GROUP,PEP_STAR,RECENCY_STATUS_96NK,FREQUENCY_STATUS_97NK,DONOR_AGE_GROUP,RESPONSE_PROB
138239,1,0,0.1111111111111111,0.056,1,0,S,1,7.0,0,A,1,Middle-aged,0.86
62928,1,1,0.08333333333333333,0.077,13,0,S,2,6.0,1,A,1,Middle-aged,0.86
118361,4,4,0.3076923076923077,0.222,11,0,R,1,4.0,1,S,2,Elderly,0.86
74914,7,3,0.6363636363636364,0.333,14,0,T,2,2.0,1,S,4,Elderly,0.85
57964,4,3,0.4444444444444444,0.364,13,0,C,3,1.0,1,S,4,Elderly,0.85
145120,2,1,0.14285714285714285,0.095,7,0,U,1,7.0,1,S,2,Middle-aged,0.85
57463,1,0,0.1111111111111111,0.067,5,0,S,2,6.0,1,A,1,Elderly,0.85
5510,8,5,0.27586206896551724,0.4,14,1,?,?,5.0,1,A,1,Elderly,0.85
8460,8,5,0.23529411764705882,0.4,19,1,U,1,5.0,0,A,4,Middle-aged,0.85
189725,5,2,1.25,0.625,4,0,S,1,5.0,0,E,4,Middle-aged,0.85
190108,5,4,1.25,0.714,4,0,C,2,5.0,1,E,4,Middle-aged,0.85
118564,8,5,1.0,0.444,14,0,R,3,6.0,1,S,3,Elderly,0.84
51692,5,3,0.625,0.263,12,0,T,1,6.0,1,S,3,Elderly,0.84
134398,5,2,0.7142857142857143,0.417,4,0,U,1,5.0,0,A,4,Elderly,0.84
66358,4,3,0.5,0.364,14,0,S,2,5.0,1,S,3,Elderly,0.84
85010,5,3,0.4166666666666667,0.263,11,0,T,2,4.0,1,S,3,Middle-aged,0.84
79850,2,1,0.16666666666666666,0.143,3,0,R,2,1.0,0,A,3,Elderly,0.84
71882,4,1,0.3333333333333333,0.25,6,0,C,2,5.0,1,S,3,Middle-aged,0.835
20031,1,1,0.09090909090909091,0.2,1,0,T,2,4.0,1,F,1,Middle-aged,0.8325
51683,5,4,0.4166666666666667,0.294,6,0,C,2,4.0,1,S,4,Middle-aged,0.83
9287,6,3,0.42857142857142855,0.3,12,1,S,2,1.0,1,S,3,Middle-aged,0.83
74825,4,2,0.6666666666666666,0.444,10,0,T,2,2.0,1,S,3,Elderly,0.83
50640,4,1,0.4444444444444444,0.267,13,0,T,2,5.0,1,S,3,Elderly,0.83
72048,9,6,0.6923076923076923,0.563,6,0,R,2,2.0,1,S,4,Middle-aged,0.83
176907,4,1,0.3076923076923077,0.222,4,0,T,2,7.0,0,A,4,Middle-aged,0.83
16973,6,4,0.6,0.3,15,0,T,2,5.0,1,S,3,Middle-aged,0.83
190726,4,2,0.3076923076923077,0.25,7,1,?,?,4.0,0,A,2,Middle-aged,0.83
144050,2,2,0.15384615384615385,0.182,2,0,S,1,6.0,0,N,2,Middle-aged,0.83
87071,3,1,0.2727272727272727,0.143,8,0,T,2,4.0,1,A,1,Elderly,0.83
22150,4,3,0.3076923076923077,0.19,10,0,T,3,4.0,1,A,3,Middle-aged,0.83
38632,12,9,0.9230769230769231,0.6,24,0,S,1,4.0,1,S,4,Middle-aged,0.83
3018,2,1,0.07407407407407407,0.154,2,1,?,?,5.0,0,A,1,Middle-aged,0.83
16771,3,1,0.6,0.231,11,0,T,1,6.0,1,S,3,Elderly,0.82
175907,4,4,0.36363636363636365,0.2,15,0,C,2,5.0,1,A,1,Elderly,0.82
190634,4,4,0.25,0.2,17,1,C,1,5.0,1,S,2,Elderly,0.82
7846,5,5,0.35714285714285715,0.263,13,1,S,2,4.0,1,S,3,Middle-aged,0.82
52547,9,6,0.75,0.474,7,0,R,2,4.0,1,S,4,Middle-aged,0.82
87538,1,1,0.07692307692307693,0.1,2,0,R,2,5.0,0,N,3,Middle-aged,0.82
22942,4,2,0.2857142857142857,0.308,2,0,C,2,5.0,1,A,3,Elderly,0.82
51486,7,5,0.875,0.368,13,0,C,3,5.0,1,S,4,Elderly,0.82
42176,5,2,0.7142857142857143,0.385,9,0,C,2,2.0,1,S,4,Elderly,0.81
21539,8,4,0.6153846153846154,0.421,14,0,R,2,3.0,1,S,4,Middle-aged,0.81
1012,7,5,0.25,0.35,17,0,T,1,5.0,1,S,2,Elderly,0.81
173108,2,0,0.15384615384615385,0.091,1,0,C,3,5.0,0,A,1,Middle-aged,0.81
86803,5,2,0.45454545454545453,0.25,3,0,R,2,1.0,1,A,4,Middle-aged,0.81
174934,4,1,0.26666666666666666,0.286,4,0,S,2,5.0,1,S,4,Middle-aged,0.81
6185,2,2,0.09523809523809523,0.095,6,1,U,2,5.0,1,A,1,Elderly,0.81
190412,3,1,1.0,0.375,9,0,S,1,5.0,1,E,2,Middle-aged,0.81
14638,2,0,0.13333333333333333,0.118,0,1,C,2,5.0,1,A,1,Middle-aged,0.81
57992,6,6,0.46153846153846156,0.286,10,0,R,1,7.0,1,S,4,Middle-aged,0.81
5613,3,2,0.09375,0.158,7,1,?,?,5.0,1,A,1,Elderly,0.81
14319,5,1,0.17857142857142858,0.238,1,1,S,3,5.0,1,S,4,Elderly,0.81
106235,4,1,0.5714285714285714,0.267,8,0,T,2,4.0,1,S,4,Elderly,0.81
65073,2,1,0.18181818181818182,0.105,7,0,S,2,5.0,0,A,1,Elderly,0.81
96080,3,3,0.3,0.176,12,0,T,2,2.0,1,S,3,Elderly,0.81
56886,8,7,0.7272727272727273,0.421,8,0,S,1,5.0,1,S,4,Elderly,0.81
104755,3,2,0.23076923076923078,0.167,3,0,S,1,6.0,0,A,2,Elderly,0.81
160716,8,5,0.5714285714285714,0.421,14,0,C,2,5.0,1,S,4,Middle-aged,0.8
9049,2,0,0.06896551724137931,0.111,3,0,C,3,5.0,1,A,4,Middle-aged,0.8
139887,3,1,0.23076923076923078,0.158,2,0,R,2,5.0,1,A,2,Middle-aged,0.8
87771,2,0,0.15384615384615385,0.095,1,0,U,1,5.0,0,A,1,Middle-aged,0.8
46552,2,0,0.2,0.111,1,0,T,1,7.0,0,A,1,Middle-aged,0.8
183055,5,4,0.38461538461538464,0.227,12,0,S,2,5.0,1,S,3,Middle-aged,0.8
95260,13,8,0.9285714285714286,0.684,21,0,R,2,5.0,1,S,4,Middle-aged,0.8
94394,2,2,0.2,0.118,9,0,U,3,6.0,1,E,1,Elderly,0.8
130850,9,6,0.6923076923076923,0.45,7,0,R,2,4.0,1,S,4,Middle-aged,0.8
7518,5,4,0.4166666666666667,0.294,16,1,?,?,2.0,1,S,3,Middle-aged,0.8
82857,3,2,0.23076923076923078,0.143,8,0,S,1,6.0,1,A,2,Middle-aged,0.8
154745,3,2,0.25,0.167,3,0,T,2,7.0,0,A,3,Middle-aged,0.8
61421,2,0,0.2,0.125,1,0,C,3,5.0,0,A,1,Elderly,0.8
19581,2,1,0.15384615384615385,0.1,17,0,S,2,5.0,1,A,1,Middle-aged,0.8
188141,1,1,0.16666666666666666,0.125,7,0,S,1,5.0,0,E,1,Middle-aged,0.8
187284,2,2,0.3333333333333333,0.667,2,0,C,2,5.0,0,E,3,Middle-aged,0.8
157185,3,2,0.2,0.2,11,0,C,1,3.0,1,S,3,Middle-aged,0.79
87324,5,2,0.625,0.294,5,0,C,3,5.0,0,A,3,Middle-aged,0.79
38853,3,2,0.3333333333333333,0.158,13,0,U,3,2.0,1,A,1,Elderly,0.79
58351,6,3,0.42857142857142855,0.316,4,0,R,3,5.0,1,A,4,Elderly,0.79
181869,4,3,0.3333333333333333,0.267,3,0,T,2,4.0,1,S,3,Elderly,0.79
18508,4,1,0.3076923076923077,0.2,1,0,T,2,4.0,1,A,3,Middle-aged,0.79
177087,5,3,0.4166666666666667,0.294,3,0,C,2,4.0,1,S,4,Middle-aged,0.79
